ID;Count
growth_rate_tables_licensed_HDI_2015_1__0_5-QPlus;110
growth_rate_tables_licensed_HDI_2015__0_5-QPlus;110
growth_rate_tables_licensed_multivariate__0_4-QPlus;105
growth_rate_tables_licensed_HDI_2015__0_2-QPlus;104
growth_rate_tables_licensed_HDI_2015_1__0_2-QPlus;104
growth_rate_tables_licensed_HDI_2015__0_6-QPlus;101
growth_rate_tables_licensed_HDI_2015_1__0_6-QPlus;101
growth_rate_tables_licensed_world_bank_misc_50__0_31-QMinus;100
growth_rate_tables_licensed_HDI_2015_1__0_20-QMinus;100
growth_rate_tables_licensed_HDI_2015__0_20-QMinus;100
growth_rate_tables_licensed_environment__0_9-QPlus;99
growth_rate_tables_licensed_HDI_2015_1__0_13-QPlus;98
growth_rate_tables_licensed_HDI_2015__0_13-QPlus;98
growth_rate_tables_licensed_HDI_2015_1__0_15-QMinus;98
growth_rate_tables_licensed_HDI_2015__0_1-QMinus;98
growth_rate_tables_licensed_HDI_2015_1__0_1-QMinus;98
growth_rate_tables_licensed_HDI_2015_1__0_22-QMinus;98
growth_rate_tables_licensed_HDI_2015__0_15-QMinus;98
growth_rate_tables_licensed_HDI_2015__0_22-QMinus;98
growth_rate_tables_licensed_country-stats_3__0_5-QPlus;97
growth_rate_tables_licensed_world_bank_misc_50__0_32-QPlus;97
growth_rate_tables_licensed_country-stats_4__0_5-QPlus;97
inflation_rate_tables_licensed_data_435__3_20-QMinus;97
growth_rate_tables_licensed_multivariate__0_5-QMinus;97
inflation_rate_tables_licensed_data_before_imp__3_20-QMinus;97
inflation_rate_tables_licensed_data_434__3_20-QMinus;97
inflation_rate_tables_licensed_data_424__0_17-QMinus;97
inflation_rate_tables_licensed_data_425__0_17-QMinus;97
growth_rate_tables_licensed_cia_factbook__0_7-QMinus;96
growth_rate_tables_licensed_Table_15__Population_Trends__1_0-QMinus;96
growth_rate_tables_licensed_Table_14__Environment__1_0-QMinus;96
inflation_rate_tables_licensed_data_434__3_24-QPlus;95
inflation_rate_tables_licensed_data_435__3_24-QPlus;95
inflation_rate_tables_licensed_data_before_imp__3_24-QPlus;95
growth_rate_tables_licensed_HDI_2015_1__0_19-QPlus;95
inflation_rate_tables_licensed_data_425__0_21-QPlus;95
growth_rate_tables_licensed_HDI_2015__0_19-QPlus;95
inflation_rate_tables_licensed_data_424__0_21-QPlus;95
growth_rate_tables_licensed_HDI_2015__0_17-QPlus;94
growth_rate_tables_licensed_HDI_2015_1__0_17-QPlus;94
growth_rate_tables_licensed_multivariate__0_6-QMinus;94
growth_rate_tables_licensed_WDIData_2016_subset__1_6-QPlus;92
growth_rate_tables_licensed_worldbank_indicator_2016_subset__1_6-QPlus;92
growth_rate_tables_licensed_worldbank_indicator_2016_subset__1_11-QPlus;91
growth_rate_tables_licensed_WDIData_2016_subset__1_11-QPlus;91
growth_rate_tables_licensed_country-stats_3__0_7-QMinus;91
growth_rate_tables_licensed_country-stats_4__0_7-QMinus;91
growth_rate_tables_licensed_econ_freedom_index__1_6-QPlus;90
inflation_rate_tables_licensed_data_424__0_12-QPlus;90
growth_rate_tables_licensed_econ_freedom_index__24_6-QPlus;90
inflation_rate_tables_licensed_data_before_imp__3_15-QPlus;90
inflation_rate_tables_licensed_data_435__3_15-QPlus;90
inflation_rate_tables_licensed_econ_freedom_index__1_6-QPlus;90
inflation_rate_tables_licensed_data_425__0_12-QPlus;90
inflation_rate_tables_licensed_data_434__3_15-QPlus;90
inflation_rate_tables_licensed_econ_freedom_index__24_6-QPlus;90
inflation_rate_tables_licensed_econ_freedom_index__1_4-QMinus;90
growth_rate_tables_licensed_econ_freedom_index__1_4-QMinus;90
growth_rate_tables_licensed_environment__0_6-QMinus;90
inflation_rate_tables_licensed_econ_freedom_index__24_4-QMinus;89
growth_rate_tables_licensed_econ_freedom_index__24_4-QMinus;89
growth_rate_tables_licensed_environment__0_3-QPlus;88
growth_rate_tables_licensed_world_bank_misc_50__0_37-QPlus;88
growth_rate_tables_licensed_environment__0_2-QPlus;88
growth_rate_tables_licensed_Table_14__Environment__1_24-QMinus;88
inflation_rate_tables_licensed_cleanedEconFreedomData_12__0_10-QPlus;87
growth_rate_tables_licensed_cleanedEconFreedomData_2__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_2__0_10-QPlus;87
growth_rate_tables_licensed_cleanedEconFreedomData__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_10__0_10-QPlus;87
growth_rate_tables_licensed_economic_freedom_index2019_data_3__24_18-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_7__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_11__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_6__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_1__0_10-QPlus;87
growth_rate_tables_licensed_econ_freedom_index__24_18-QPlus;87
inflation_rate_tables_licensed_econ_freedom_index__24_18-QPlus;87
growth_rate_tables_licensed_cleanedEconFreedomData_1__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_8__0_10-QPlus;87
inflation_rate_tables_licensed_cleanedEconFreedomData_9__0_10-QPlus;87
growth_rate_tables_licensed_econ_freedom_index__24_13-QPlus;86
growth_rate_tables_licensed_country-stats_4__0_12-QPlus;86
inflation_rate_tables_licensed_econ_freedom_index__24_13-QPlus;86
growth_rate_tables_licensed_HDI_2015_1__0_21-QPlus;86
inflation_rate_tables_licensed_econ_freedom_index__1_13-QPlus;86
growth_rate_tables_licensed_HDI_2015__0_21-QPlus;86
growth_rate_tables_licensed_country-stats_3__0_12-QPlus;86
growth_rate_tables_licensed_econ_freedom_index__1_13-QPlus;86
growth_rate_tables_licensed_refugee_and_total_populations_by_country__0_4-QMinus;86
growth_rate_tables_licensed_sorted_percent_need_and_funding_pop__0_4-QMinus;86
growth_rate_tables_licensed_HDI_2015__0_16-QMinus;86
growth_rate_tables_licensed_HDI_2015_1__0_16-QMinus;86
growth_rate_tables_licensed_economic_freedom_index2019_data_3__1_4-QMinus;86
inflation_rate_tables_licensed_economic_freedom_index2019_data_2__1_4-QMinus;86
inflation_rate_tables_licensed_cleanedEconFreedomData_6__0_15-QPlus;85
inflation_rate_tables_licensed_cleanedEconFreedomData_9__0_15-QPlus;85
inflation_rate_tables_licensed_cleanedEconFreedomData__0_15-QPlus;85
growth_rate_tables_licensed_economic_freedom_index2019_data_3__1_16-QPlus;85
growth_rate_tables_licensed_cleanedEconFreedomData__0_15-QPlus;85
