,importance,stddev,p_value,n,p99_high,p99_low
 HIV/AIDS,1.2523866038527276,0.3029761126350124,6.626635730435551e-14,20,1.4462078235757436,1.0585653841297116
Income composition of resources,0.988349161853536,0.35327144803573374,6.37871759002914e-11,20,1.2143455361422506,0.7623527875648215
 BMI ,0.9868688005073066,0.27899844730883366,1.076688425781446e-12,20,1.1653509220446225,0.8083866789699907
percentage expenditure,0.46401270138100603,0.21658782100269364,5.22010285696938e-09,20,0.6025692208332962,0.32545618192871584
Schooling,0.4606324352082181,0.13910643745259935,3.4476041983773943e-12,20,0.5496222210494089,0.3716426493670273
Polio,0.30531584094286557,0.0917698116336667,3.1743155480428135e-12,20,0.3640232310070327,0.24660845087869843
Diphtheria ,0.30161011893478606,0.08920778149514497,2.39127645082597e-12,20,0.35867851573939674,0.2445417221301754
Alcohol,0.2220573779673217,0.10689028666361798,8.493646287005705e-09,20,0.2904377052396676,0.15367705069497578
 thinness 5-9 years,0.16470973607892406,0.09102352351256059,7.061938912547212e-08,20,0.22293970740324542,0.1064797647546027
 thinness  1-19 years,0.14866563281076603,0.07272392280561793,1.0934994236333301e-08,20,0.19518890257826665,0.1021423630432654
under-five deaths ,0.14333025384993991,0.05383890515504525,1.4798214407760566e-10,20,0.17777231654243203,0.1088881911574478
Measles ,0.11744379143591914,0.10374020021294736,3.4548710968681994e-05,20,0.18380893146201027,0.05107865140982801
infant deaths,0.08183043028194967,0.036268731295068746,2.2768680432745704e-09,20,0.10503242358854738,0.05862843697535196
GDP,0.056966306826078325,0.06007650490183577,0.00022119191642054378,20,0.095398714435707,0.01853389921644965
Total expenditure,0.04846929394463817,0.09909833391863838,0.020712166431803725,20,0.11186491872040341,-0.014926330831127071
Population,0.01137521263803043,0.024986824529256463,0.027971482454115737,20,0.02735989461558183,-0.004609469339520972
Hepatitis B,-0.028185594249319566,0.02468703345792584,0.9999686057426983,20,-0.012392695942771197,-0.043978492555867936
